Repository,Stars
https://github.com/hackkhai/blend_diffusers,0
https://github.com/labhackers/jekyll,1
https://github.com/juanpabloangaritabernal/bibliotecas-archivos-museos-colombianos,0
https://github.com/warwickcdi/workshop-networks-a-skillsworkshop,1
https://github.com/SvenMarcus/hpc-rocket,26
https://github.com/vliz-be-opsci/dmbon-assistant,4
https://github.com/Cloud-SPAN/metagenomics02-polishing,0
https://github.com/3D-e-Chem/sygma,14
https://github.com/sousa-dev/sunergy-optimizer,0
https://github.com/flonnesan/sinapupunan,0
https://github.com/CQCL/tket,254
https://github.com/hothman/text_mining,0
https://github.com/pmartinolli/montpencc,2
https://github.com/ajaymur91/ClusterSAM,0
https://github.com/qubekit/qubekit,94
https://github.com/DDDeno/SMPLer-X,0
https://github.com/riot-os/riot,4914
https://github.com/mwolff44/pk-sbc,99
https://github.com/microsoft/nni,14020
https://github.com/HDETR/H-Deformable-DETR-mmdet,47
https://github.com/CAM-E-L/DataCollection,0
https://github.com/MarkHershey/dotfiles,4
https://github.com/briandfoy/yaml-module-test,3
https://github.com/3mmarand/pgr_reproducibility,4
https://github.com/m-zakeri/coda,7
https://github.com/john-susitronix/hls_etharb,0
https://github.com/borsym/mmpose-basler,0
https://github.com/ernestvmo/API-project,2
https://github.com/fiscomp2-UdeC2022/ejemplo-portafolio,4
https://github.com/ICB-DCM/parPE,19
https://github.com/premtc/Human_Robot_Hand_Grasping_Mujoco,0
https://github.com/abikahs/meta,1
https://github.com/ICEI-PUC-Minas-PMV-SI/pmv-si-2023-2-pe2-t2-aluga-auto,0
https://github.com/arnold117/NCHU_Bachelor_Work_Records_Template,4
https://github.com/jakobmiserez/thesis,0
https://github.com/infoqualitylab/author_network_analysis,1
https://github.com/mitdbg/treeline,131
https://github.com/TulipaEnergy/esdl4tulipa,0
https://github.com/oldscripter/search-in-files,0
https://github.com/StanfordSpezi/SpeziChat,7
https://github.com/ykunisato/jpn-j-psychosom-med-open-science,0
https://github.com/PersiaML/PERSIA,394
https://github.com/FiannaChen/YOLOv8,0
https://github.com/DistributedScience/Distributed-HelloWorld,0
https://github.com/Erickneur/yolov5,0
https://github.com/ThaiTOm/clip_openAI_clone,0
https://github.com/quarkslab/aosp_dataset,57
https://github.com/chase-lab/checklist_change,2
https://github.com/seanpm2001/seanslifearchive_extras_wikipedia,2
https://github.com/fkodom/fft-conv-pytorch,472
https://github.com/mulles/doc_projekt-labor_soc,0
https://github.com/bkahlert/recordr,4
https://github.com/2lambda123/jwst,0
https://github.com/beratatmaca/gpsopencl,0
https://github.com/ebisim/ebisim,3
https://github.com/the-magnificents/collab-dev,0
https://github.com/isle-project/graphmaker,3
https://github.com/raymondkirk/rasberry_tracking,0
https://github.com/nschmidtg/thesis,4
https://github.com/fetchai/agents-aea,206
https://github.com/alpaka-group/llama,80
https://github.com/FAIRvocabularies/vocabulary_maintenance,0
https://github.com/azukipan/emergencyBrakingEMG,0
https://github.com/egrumbac/repair-dhsi-demo,0
https://github.com/surftijmen/GS-preprocessor,1
https://github.com/decile-team/cords,321
https://github.com/BlankAtom/blankatom.github.io,0
https://github.com/jiangjiawen/labelme-for-dicom,14
https://github.com/nicowinkel/Siena3D,1
https://github.com/pyro-kinetics/pyrokinetics,24
https://github.com/msmreja/Real_time_traffic_Sign_Detector,0
https://github.com/BITS-Research/SoftwareJournalPolicySurvey,0
https://github.com/hbeale/website,0
https://github.com/bjlittle/geovista,159
https://github.com/jvfe/metamage_latch,2
https://github.com/waterhackweek/website2023,0
https://github.com/osoceanacoustics/echopype,98
https://github.com/ami-iit/mystica,9
https://github.com/ajodeh-juma/rvfvtyping,1
https://github.com/maxsitt/insect-detect,39
https://github.com/shailesh1729/ecg,6
https://github.com/au-research/datacite-api-notebook,3
https://github.com/robert-koch-institut/Appendix_Potential_COVID-19_test_fraud_detection,1
https://github.com/themrityunjay/mmaction2_orgrepo,0
https://github.com/MNoichl/opinionated,115
https://github.com/ai4co/rl4co,415
https://github.com/pnnl/lamellar,11
https://github.com/ailich/MultiscaleDTM,21
https://github.com/allixender/swatpy,5
https://github.com/Monash-Final-Year-Project/label-studio-ML,0
https://github.com/giordamaug/HELP,1
https://github.com/LeapLabTHU/LASNet,24
https://github.com/CodeReclaimers/neat-python,1422
https://github.com/akhilshekar4991/fulcrum-analytical-tool,3
https://github.com/d-d-j/ddj_store,5
https://github.com/hjlee21/PINN_STUDY,0
https://github.com/cgre-aachen/gempy,971
https://github.com/uashogeschoolutrecht/immuneDiagrams,0
https://github.com/INESCTEC/interoperable-recommender-tso,5
https://github.com/geolucyxlu/2phase-frictional-viscous-model,0
https://github.com/rahulgaur104/ideal-ballooning-solver,3
https://github.com/hdduytran/mmocr,0
https://github.com/reifjulian/illinois-wellness-data,18
https://github.com/ICR-RSE-Group/good-practice,0
https://github.com/pmeal/openpnm,446
https://github.com/astrazeneca/rexmex,277
https://github.com/stefanradev93/BayesFlow,350
https://github.com/vindem/quantummd,3
https://github.com/CrayLabs/SmartSim,233
https://github.com/ArcadeHustle/Unitree_Docs,1
https://github.com/skyhehe123/spconv,11
https://github.com/SOUNDS-RESEARCH/sydra,2
https://github.com/XJTU-Haolin/3D_Harmonic_Loss_for_Object_Detection,9
https://github.com/gfalcon2/Aerobraking-Trajectory-Simulator,11
https://github.com/SebKrantz/collapse,656
https://github.com/burnsajohn/predicttrophicmode,2
https://github.com/CoLRev-Environment/colrev,26
https://github.com/commune-ai/commune,88
https://github.com/PyDMD/PyDMD,872
https://github.com/TUe-excellent-buildings/MSc_2022_Van_der_Wal,0
https://github.com/nicojahn/open-neural-apc,3
https://github.com/NicolasRoaVargas/humoryeducacion,0
https://github.com/Atsushi-Ishii/langchain_custom,0
https://github.com/x-tabdeveloping/topic-wizard,100
https://github.com/joachimgoedhart/ggplotter,8
https://github.com/pDESy/pDESy,2
https://github.com/extratone/i,44
https://github.com/comorment/ldpred2_standalone,1
https://github.com/keivan-a-gh/master_thesis,7
https://github.com/MangoWAY/medicalImageScriptDemo,56
https://github.com/Emma-Marie/final_project,0
https://github.com/bjmorgan/py-sc-fermi,24
https://github.com/Naxocist/AILCAP,0
https://github.com/cd-athena/movidnn,7
https://github.com/NSAPH-Projects/space-data,2
https://github.com/Ragdata/.github,1
https://github.com/PabRod/kinematics,0
https://github.com/ofajardo/pyreadr,297
https://github.com/chaotique/coactuem_per_la_salut_mental_chatbot,0
https://github.com/jamie-ji/finalsci,0
https://github.com/dsrhaslab/prisma,8
https://github.com/hms-dbmi/vizarr,119
https://github.com/HibaKob/MicroBundleCompute,1
https://github.com/iVis-at-Bilkent/newt,53
https://github.com/douwehorsthuis/interpolating-channels-between-different-cap-sizes,1
https://github.com/tem11010/batson_bayes,0
https://github.com/eleutherai/gpt-neox,6893
https://github.com/MFlowCode/MFC,143
https://github.com/kimbring2/SonicTheHedgehog2-Tensorflow2,3
https://github.com/usk92/floodplain-inundation-calculator,8
https://github.com/QJSQJS/ENVGPT,1
https://github.com/imperialcollegelondon/champ,4
https://github.com/unaschneck/pydar,7
https://github.com/dragadoncila/workshop-demo,1
https://github.com/mrjonstrong/upgraded-disco,0
https://github.com/NeLLi-team/symcla,3
https://github.com/CentreForDigitalHumanities/idioms,0
https://github.com/narrawin/datasearch,2
https://github.com/silk1100/behavioralProject,3
https://github.com/turol/utuputki,5
https://github.com/kbario/concentr8r,2
https://github.com/datalad/datalad,528
https://github.com/PredictiveEcology/reproducible,41
https://github.com/awsaf49/gcvit-tf,25
https://github.com/Shape-Fragments/pySHACL-timers,0
https://github.com/JTidbury2/ThirdYearProject-AutonomousIntersectionManagment,0
https://github.com/myboyhood/mmdeploy,0
https://github.com/abhimishr/dynamic_forestry_GitHub,1
https://github.com/MehmetAzizYirik/MAYGEN,48
https://github.com/swe-train/huggingface__diffusers,0
https://github.com/wangguojim/gpt-nexo-test,0
https://github.com/berkeleysdm/h5turbopfor,1
https://github.com/ulelab/peka-eclip,1
https://github.com/2019ChenGong/Offline_RL_Poisoner,21
https://github.com/StAResComp/Pure-API-Test,0
https://github.com/ntgomes/PollCord,0
https://github.com/agda/agda-stdlib,579
https://github.com/roboflow/roboflow-python,304
https://github.com/hansvancalster/testzenodojson,0
https://github.com/m-mahgoub/nf-core-ttmap,0
https://github.com/erictleung/pixarfilms,15
https://github.com/ICEI-PUC-Minas-PMV-SI/pmv-si-2023-1-e1-proj-web-t3-alimentacao_saudavel,2
https://github.com/davidkane9/maria,0
https://github.com/nunofachada/libgameai,4
https://github.com/lucanastasio/tunablefilter,0
https://github.com/openstemmata/database,13
https://github.com/engganolang/holle-list-enggano-1895,0
https://github.com/mishmashclone/owasp-owasp-mstg,4
https://github.com/meluso/organization-simulation-mcc-ic,0
https://github.com/LSYS/runPyNB,3
https://github.com/verbalins/scorer,0
https://github.com/wtmatlock/flanker,25
https://github.com/FrancoisCarouge/GstKalman,3
https://github.com/seanpm2001/linux_defender_for_raspberry_pi,3
https://github.com/2phi/weac,6
https://github.com/d0scoo1/Naga,3
https://github.com/t-weber/electro,0
https://github.com/StanfordSpezi/SpeziOnboarding,13
https://github.com/puzzlef/multiply-cuda-adjust-launch,0
https://github.com/galantelab/sideRETRO,7
https://github.com/RPretellD/gmimtools,0
https://github.com/mpobaschnig/cdhf,2
https://github.com/linuxscout/pyarabic,443
https://github.com/fairdataihub/fairdataihub-bot,6
https://github.com/Imaging-AI-for-Health-virtual-lab/Imaging-AI-for-Health-virtual-lab.github.io,0
https://github.com/andrewholding/eLife_Sprint_CFF,0
https://github.com/fredmrodrigues/ti2-tp,0
https://github.com/GLAM-Workbench/glam-workbench.github.io,25
https://github.com/OceaneCsn/DIANE,14
https://github.com/WOW-WorkflowScheduler/nextflow,0
https://github.com/mauroccm/imganalysis,2
https://github.com/pinzauti/garbled-circuit,4
https://github.com/achael/eht-imaging,5286
https://github.com/chemosim-lab/prolif-paper,6
https://github.com/Participatory-Image-Archives/iiif-photoalbum,1
https://github.com/aayant-mend/HIGHS,0
https://github.com/bpfverif/tnums-cgo22,1
https://github.com/EVS-GIS/bdtopo2refhydro,0
https://github.com/dwhieb/esan,0
https://github.com/aarkue/rust-bridge-process-mining,9
https://github.com/Wsine/deeppatch,1
https://github.com/topllab/warduino,81
https://github.com/augustobrusaca/khq,0
https://github.com/momoleomihara/toilatoi,0
https://github.com/climdyn/qgs,33
https://github.com/salrodgom/flama,1
https://github.com/NeveMore/cognitivetest,0
https://github.com/rgl-epfl/unbiased-inverse-volume-rendering,54
https://github.com/melsiddieg/cellbaseR,2
https://github.com/wdscholia/scholia,222
https://github.com/openwashdata/proposal-eth-ord-scheme,0
https://github.com/drewwint/resmod,0
https://github.com/definityteam/blog,0
https://github.com/WangHelin1997/SoloAudio,48
https://github.com/mubashirhussainshah/YOLOv5-Object-Detection-for-Clips-and-Sleepers,0
https://github.com/newmaterialslab/hiphive_wrapper_nml,5
https://github.com/lamoboos223/visual-pollution-model,1
https://github.com/mtress/mtress,12
https://github.com/DataScienceInPractice/Site,19
https://github.com/MojtabaValizadeh/paresy,13
https://github.com/DrPaulValle/Understanding-COVID-19-dynamics-in-Mexico-,0
https://github.com/clugen/pyclugen,7
https://github.com/MathOnco/Lenia-in-HAL,6
https://github.com/nialov/drillcore-transformations,1
https://github.com/ipalmieri/rlwm,0
https://github.com/karthikgvb/btp_whittle,0
https://github.com/PecanProject/pecan,203
https://github.com/PierreWoL/EDBTDemo,1
https://github.com/veritaass/pig_mmdet,0
https://github.com/goodlunatic/Docker-Volatility,2
https://github.com/pranavmishra90/protocol-timer,1
https://github.com/tno-mpc/protocols.secure_inner_join,0
https://github.com/genericmappingtools/pygmt,753
https://github.com/alliander-opensource/AIFES,1
https://github.com/aco8ogren/2D-dispersion-GPR,0
https://github.com/LinkedEarth/PyleoclimPaper,1
https://github.com/mbujosab/cursodealgebralineal,1
https://github.com/TurtleTools/geometricus,38
https://github.com/bryan-hoang/mthe-493-group-a2,1
https://github.com/Sung-Huan/ANNOgesic,30
https://github.com/amusecode/amuse,158
https://github.com/robert-koch-institut/Corona-Datenspende_Teildatensatz_Vitaldaten,6
https://github.com/galaxyproject/tiaas2,7
https://github.com/tno-mpc/protocols.distributed_keygen,26
https://github.com/dremilybick/epiphy_edited,0
https://github.com/jaeho3690/GILON-MULTITASK-DATASET,1
https://github.com/hifis-net/ansible-role-keepalived,12
https://github.com/LandynPugh/WKEXP905,0
https://github.com/kockums/bearing,2
https://github.com/algo7/tripadvisor-review-scraper,11
https://github.com/Gi-z/CSIKit,206
https://github.com/histolab/histolab,372
https://github.com/ameen-mcmxc/DS-Lite_Test_Bed,0
https://github.com/PhucNDA/Open3DSceneUnderstanding,4
https://github.com/IBM/Bridge-Operator,18
https://github.com/logsem/cerise-stack,1
https://github.com/tobikausk/spacentation_code,0
https://github.com/qpsolvers/qpbenchmark,109
https://github.com/miguelcos/fragenterminomics,0
https://github.com/LongSAL/yasbil,4
https://github.com/boeckmt/github-actions-test,1
https://github.com/layajnamij/fyp-java,0
https://github.com/NEXGEM/nexgem.github.io,0
https://github.com/jojohnathon/p5.party,0
https://github.com/zyrikby/android_permission_evolution,28
https://github.com/giojacuzzi/noise-pollution-pop-health-naswi,0
https://github.com/ngoctuan96tn/artemis,0
https://github.com/observingClouds/schulz_et_al_JAMES_2023,1
https://github.com/filcfig/pcp,0
https://github.com/benmerrilll/Lux_AI_Kaggle,0
https://github.com/hilder-vitor/attacks-AGCD-VAGCD,0
https://github.com/ICEI-PUC-Minas-PMGCC-TI/ti-1-pmg-cc-m-20232-g11-receitas-com-o-que-tem-na-geladeira,1
https://github.com/yhaddad/lhctodd,0
https://github.com/hipster-philology/pyrrhaCI,0
https://github.com/rhpvorderman/sequali,14
https://github.com/NLeSC-GO-common-infrastructure/dcachefs,0
https://github.com/WangRongsheng/XrayGLM,892
https://github.com/beyer-rebecca/deaths-by-cancer-analysis,0
https://github.com/awsm-research/flax_t5_pre-training,0
https://github.com/tum-i4/Automated-Identification-of-Security-Relevant-Configuration-Settings-Using-NLP,1
https://github.com/HEPCompSim/DCSim,4
https://github.com/benoitballester/Pol2Atlas,1
https://github.com/neomapas/clima-jbm,0
https://github.com/polywit/polywit,4
https://github.com/apoorv74/csv-conf-KHOJ,1
https://github.com/Compiler-CampusMinden/CB-Vorlesung-Bachelor,2
https://github.com/pik-piam/mip,1
https://github.com/caltechlibrary/eprints2archives,3
https://github.com/CM30359-Group-2/buzz,0
https://github.com/cwkhawand/thales-riscv-contest,0
https://github.com/ProjectPythia/xbatcher-ML-1-cookbook,3
https://github.com/TimRoith/polarcbo,7
https://github.com/Y2Kmeltdown/NeuroRISC,0
https://github.com/suz11001/virdtl,2
https://github.com/carpentries-incubator/statistics-r-public-health,3
https://github.com/pyspeckit/pyspeckit,103
https://github.com/telota/jean_paul_briefe_ediarum,0
https://github.com/saumyashankarsinha/BMRE,1
https://github.com/jeff-hykin/phosphorylation_analysis,0
https://github.com/sam16222/CookBook,0
https://github.com/viroovr/InsightMedi,0
https://github.com/microsoft/HAMS,7
https://github.com/kg-construct/rml-star,4
https://github.com/lancs-net/wayfinder,7
https://github.com/remindmodel/remind,98
https://github.com/Coloquinte/volute,5
https://github.com/dIronmanb/KWU-Capstone,0
https://github.com/revanZX/mmseg_WS,0
https://github.com/kit-ibt/augmenta,8
https://github.com/ciki000/tabledet,0
https://github.com/2lambda123/mckinsey-causalnex,0
https://github.com/ika-rwth-aachen/ros-v2x-benchmarking-suite,16
https://github.com/jmaczan/xiexie,2
